Id;Country;StartDate;EndDate;Type;Name;Subdivisions
5ca29364-db88-4155-87e1-55e49e2e81af;ES;2019-12-23;2020-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-CO
04d624b1-7ab9-49c5-99e8-d925eded37ed;ES;2020-03-02;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-CO
13a6afbe-7508-4c65-9c16-7d085fdcec54;ES;2020-04-05;2020-04-12;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-CO
87a04531-be4f-4445-988b-73811cdf11e8;ES;2020-06-24;2020-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-CO
c927211d-601d-4bda-962d-ccd5b9a071fc;ES;2020-12-23;2021-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-CO
e27c57fa-25e8-49ec-a072-72173d5cbf16;ES;2021-02-26;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-CO
e763be39-629d-4ee2-b4da-5cabb3ba9a0d;ES;2021-03-29;2021-04-04;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-CO
d24ffbbb-72b2-43d2-a020-2f095319f174;ES;2021-06-23;2021-09-09;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-CO
9d7e3fed-9cf6-4de6-9fea-dcda017a49c4;ES;2021-12-07;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
cdbdcf98-e24f-40c3-9ebc-b7939a0b969f;ES;2021-12-23;2022-01-09;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-CO
e882ab07-d02f-41ea-b33b-f12eaf1f7ba2;ES;2022-02-25;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-CO
5fa8c60c-f53f-49e8-9ce3-2ff8cdb1a6a6;ES;2022-04-11;2022-04-17;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-CO
efd80af9-4a43-4a66-98ec-d031e12046c7;ES;2022-06-25;2022-09-11;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-CO
b09cb422-75c2-4b83-810a-b565af03f272;ES;2022-12-05;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
93a64344-e2eb-4b4d-ae96-ec1829f6ad38;ES;2022-12-23;2023-01-08;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-CO
311b87e4-a417-49dc-8061-eb52324a6ebe;ES;2023-02-27;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-CO
2bdc81ad-f3cc-4f6f-b994-5c120c499c8c;ES;2023-04-03;2023-04-09;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-CO
7978f59b-f48a-4133-b010-e77b718a8082;ES;2023-05-02;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
1a7426b4-be01-4550-bae9-0e285f8e62ff;ES;2023-06-24;2023-09-10;School;ES Vacaciones de verano,CA Vacances d´estiu,DE Sommerferien,EN Summer holidays;AN-CO
a72f41a5-bc8c-4cea-8915-76aba6e2cfd6;ES;2023-10-13;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
626d3b30-91d4-428c-a1f2-64eb80311751;ES;2023-12-07;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
5395cb45-6019-461c-a430-d2a05c919560;ES;2023-12-23;2024-01-07;School;ES Vacaciones de Navidad,CA Vacances de Nadal,DE Weihnachtsferien,EN Christmas holidays;AN-CO
d4a8c6a5-808c-41d1-b306-c0868c8f5bd9;ES;2024-02-26;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
e2bcd7a0-c4cd-4f06-bdd4-3a46566d1c20;ES;2024-02-27;;School;ES Día de la Comunidad Educativa,CA Dia de la Comunitat Educativa,DE Tag der Bildungsgemeinschaft,EN Educational Community Days;AN-CO
3621bd96-468b-4431-85b5-e3a30703f182;ES;2024-03-01;;School;ES Día no lectivo,CA Dia no lectiu,DE Schulfreier Tag,EN Non-teaching day;AN-CO
5c4ce8a6-ed7c-442b-b1cd-aca6038e1368;ES;2024-03-23;2024-03-31;School;ES Vacaciones de Semana Santa,CA Vacances de Setmana Santa,DE Osterferien,EN Easter holidays;AN-CO
ec586d4c-aaea-41fe-84e1-1d87a725afa1;ES;2024-06-22;;EndOfLessons;ES Fin de lecciones,CA Final de lliçons,DE Unterrichtsende,EN End of lessons;AN-CO
